system size,min runtime (s),max runtime (s),median runtime (s)
100,0.057263337000000004,0.088171153,0.058038907
200,0.159425499,0.166806113,0.16136980050000002
300,0.661675168,0.6681272460000001,0.6636607130000001
400,1.7887106920000002,1.802454561,1.7955826265000001
500,3.0665684,3.0665684,3.0665684
600,4.445529763000001,4.445529763000001,4.445529763000001
700,6.017666686,6.017666686,6.017666686
800,7.865701611,7.865701611,7.865701611
900,9.971131972,9.971131972,9.971131972
1000,12.70955468,12.70955468,12.70955468
