precision,min runtime (ms),max runtime (ms),median runtime (ms)
0.0001,11.66264,62.71333,13.957050000000002
1.0e-5,12.336301,57.861521,14.5752215
1.0e-6,12.316087000000001,61.566055,14.463256000000001
1.0e-7,13.122444,46.329167000000005,15.30855
1.0e-8,13.747545,60.486529000000004,15.8031175
1.0e-9,14.504978000000001,71.037519,16.751697
1.0e-10,14.520744,68.694669,16.768772000000002
1.0e-11,15.327665,63.30324300000001,17.338174000000002
1.0e-12,15.878163,69.149316,18.13669
1.0e-15,15.438076,60.733803,17.286947000000005
